NO,체험프로그램명,체험처명,체험처유형,체험프로그램 직업유형,체험유형,초등학교대상여부,중학교대상여부,고등학교대상여부,위도,경도,체험인원,유무료구분,유료금액,체험시간,대면비대면구분,안전도,교육기부인증기관여부,체험지역명,체험진행장소
729,나무이야기 찾아가는 목공체험교실-곰돌이 독서대,대전나무이야기,민간기업,목재 가공기계 조작원,직업실무체험형,Y,Y,Y,36.362311238100034,127.43516848235026,20,유료,28000.0,2.0,79001,,,대전 대덕구,학교
728,나무이야기 찾아가는 목공체험교실-베이직 책꽂이,대전나무이야기,민간기업,목재 가공기계 조작원,직업실무체험형,Y,Y,Y,36.362311238100034,127.43516848235026,20,유료,28000.0,2.0,79001,,,대전 대덕구,학교
727,AI활용 마케팅 전문가 : 고객을 끌어오는 실전 홍보 콘텐츠 기획,솜씨정원,개인사업장,기획·마케팅 사무원,직업실무체험형,Y,Y,Y,35.1771656129948,128.81448619395,90,유료,7000.0,2.0,79001,,,경남 김해시,학교
726,AI활용 핸드메이드 크리에이터 : 나도 AI 콘텐츠 크리에이터!,솜씨정원,개인사업장,미디어 콘텐츠 디자이너,직업실무체험형,Y,Y,Y,35.1771656129948,128.81448619395,90,유료,20000.0,2.0,79001,,,경남 김해시,학교
725,꿈꾸는 박물관 - 박물관 속 직업 및 공간탐구,은평역사한옥박물관,공공기관/공기업,학예사 및 문화재 보존원,현장직업체험형,Y,Y,Y,37.6349668825061,126.92106591289,20,유료,1000.0,2.0,79001,,,서울 은평구,체험처
724,펠트&양모 캐릭터키링만들기,꿈꾸는 니들공방,개인사업장,기타예술체육,학과체험형,,Y,Y,34.95592285216272,127.53567231503314,20,유료,18000.0,4.0,79001,,,전남 순천시,체험처
723,동식물 검역관 직업체험,농림축산검역본부 중부지역본부,공공기관/공기업,작물재배 종사자,현장직업체험형,Y,Y,Y,37.46409772691254,126.6851512681763,10,무료,,2.0,79001,,,인천 미추홀구,체험처
722,생활목공 체험교실 - 1인 좌탁,(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,90000.0,2.0,79001,,,전북 익산시,학교
721,생활목공 체험교실 - 독서대 만들기,(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,40000.0,2.0,79001,,,전북 익산시,학교
720,위기의 동물을 구하는 글라스아트도어벨,그리니,개인사업장,예능 강사,현장직업체험형,Y,Y,Y,34.8544448243999,128.43314921138,20,유료,25000.0,2.0,79001,,,경남 통영시,학교
719,생활목공 체험교실 - 고리형 벽선반 만들기,(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,20000.0,2.0,79001,,,전북 익산시,학교
718,버섯따서 피자만들기체험,6차산업 드림버섯농장,개인사업장,주방장 및 요리 연구가,현장견학형,Y,Y,,36.8923275070784,127.322624714541,100,유료,25000.0,2.0,79001,,,충북 진천군,체험처
717,피부 건강 지킴이 프로젝트! 건강한 피부 습관 만들기,김포 구래 피부관리 오늘도 예쁨,개인사업장,피부 및 체형 관리사,현장직업체험형,Y,Y,Y,37.6437250386719,126.625092922928,6,유료,10000.0,2.0,79001,,,경기 김포시,체험처
716,"버섯농업(표고버섯키우기, 노루궁뎅이버섯키우기, 녹각영지버섯키우기)",6차산업 드림버섯농장,개인사업장,채소·특용작물 재배원,현장직업체험형,Y,,,36.86298651782582,127.43737130262522,200,유료,25000.0,2.0,79001,,,충북 진천군,체험처
715,생활목공 체험교실 - 태블릿 거치대 만들기,(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,40000.0,2.0,79001,,,전북 익산시,학교
714,국회 의정체험교실(오프라인),국회사무처,공공기관/공기업,기타,강연형,Y,Y,Y,37.53158878082342,126.91783970072817,520,무료,,2.0,79001,,,서울 영등포구,체험처
713,생활목공 체험교실 - 발 받침대 만들기,(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,70000.0,2.0,79001,,,전북 익산시,학교
712,생활목공 체험교실 - 원형 스툴 만들기,(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,50000.0,2.0,79001,,,전북 익산시,학교
711,국회 의정체험교실(온라인),국회사무처,공공기관/공기업,기타,강연형,Y,Y,Y,37.531523458296505,126.91783977238228,520,무료,,2.0,79002,,,서울 영등포구,온라인
710,생활목공 체험교실 - 강아지 모양 수납함,(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,30000.0,2.0,79001,,,전북 익산시,학교
709,생활목공 체험교실 - 3단 보관함 만들기,(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,50000.0,2.0,79001,,,전북 익산시,학교
708,★낙동강권★[현장견학형]K-water 물드림캠프(합천댐지사),K-water (한국수자원공사),공공기관/공기업,정부·공공행정 전문가,강연형,Y,Y,,35.5315542449351,128.029521388533,33,무료,,2.0,79001,,62001.0,경남 합천군,체험처
707,[학교방문형] 업사이클 소잉디자이너 - 환경제품 디자이너,모아협동조합,민간기업,제품 디자이너,현장직업체험형,Y,Y,Y,36.7788002700502,127.098775200651,20,유료,25000.0,2.0,79001,,62001.0,충남 아산시,체험처
706,[학교방문형] 업사이클 소잉디자이너 - 환경제품 디자이너,모아협동조합,민간기업,제품 디자이너,현장직업체험형,Y,Y,Y,36.7788002700502,127.098775200651,10,유료,45000.0,2.0,79001,,62001.0,충남 아산시,체험처
705,[학교방문형]미술 심리 치료사 알아보기,잘그리는아이,개인사업장,상담심리/심리치료,학과체험형,Y,Y,Y,36.81487878828055,127.11376599667229,30,유료,11000.0,2.0,79001,,,충남 천안시,학교
704,[학교방문형]미술 심리 치료사 알아보기,잘그리는아이,개인사업장,상담심리/심리치료,학과체험형,Y,Y,Y,36.81487878828055,127.11376599667229,30,유료,12000.0,2.0,79001,,,충남 천안시,학교
703,[학교방문형] 이모티콘 디자이너 알아보기,잘그리는아이,개인사업장,이미지디자인,학과체험형,Y,Y,Y,36.81487878828055,127.11376599667229,35,유료,10000.0,2.0,79001,,,충남 천안시,학교
702,2026 하반기 온라인 멘토링'박학다식',공주진로직업체험지원센터,청소년/시민단체,중·고등학교 교사,대화형,Y,Y,Y,,,30,무료,,30.0,79002,,,,온라인
701,"모델 교육으로 자신감을 키우는 자세와 워킹, 자기표현 클래스",에스팀,민간기업,배우 및 모델,직업실무체험형,Y,Y,Y,37.5729741421976,126.983853735722,40,유료,20000.0,2.0,79001,,,서울 종로구,체험처
700,도전! 목포플레이파크,목포플레이파크,민간기업,기타 스포츠 및 여가서비스 종사원,현장직업체험형,Y,Y,Y,34.7948205727486,126.419157460033,20,유료,20000.0,2.0,79001,,,전남 목포시,체험처
699,라디오와 지역 문제 해결,(사)청암송건호기념사업회,민간기업,감독 및 기술감독,현장견학형,Y,,,36.299368777754765,127.56684809077828,5,무료,,3.0,79001,,,충북 옥천군,체험처
698,[서울경기] 로봇기계설계기술자-스네이크로봇,조이에듀,개인사업장,로봇공학 기술자 및 연구원,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,16000.0,2.0,79001,,,경기 구리시,학교
697,[서울경기] 완구디자이너-슈팅디스크,조이에듀,개인사업장,감성완구,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,15000.0,2.0,79001,,,경기 구리시,학교
696,[서울경기] 제품디자이너-스탄카,조이에듀,개인사업장,제품 디자이너,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,15000.0,2.0,79001,,,경기 구리시,학교
695,[서울경기] 항공정비기술자-엑스자이로,조이에듀,개인사업장,항공기 정비원,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,16000.0,2.0,79001,,,경기 구리시,학교
694,[서울경기] 비행기조종사-전동비행기,조이에듀,개인사업장,항공기 조종사,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,18000.0,2.0,79001,,,경기 구리시,학교
693,[서울경기] 로봇제어기술자-스텝봇,조이에듀,개인사업장,로봇공학 기술자 및 연구원,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,21000.0,2.0,79001,,,경기 구리시,학교
692,[서울경기] 항공우주공학자-스카이플랩버드,조이에듀,개인사업장,항공우주공학,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,24000.0,2.0,79001,,,경기 구리시,학교
